start_of_quarter,prediction
2017-01-01 00:00:00,0.005321004972907355
2017-01-01 00:15:00,0.005321004972907355
2017-01-01 00:30:00,0.005321004972907355
2017-01-01 00:45:00,0.005321004972907355
2017-01-01 01:00:00,0.005321004972907355
2017-01-01 01:15:00,0.005321004972907355
2017-01-01 01:30:00,0.005321004972907355
2017-01-01 01:45:00,0.005321004972907355
2017-01-01 02:00:00,0.005321004972907355
2017-01-01 02:15:00,0.005321004972907355
2017-01-01 02:30:00,0.005321004972907355
2017-01-01 02:45:00,0.005321004972907355
2017-01-01 03:00:00,0.005321004972907355
2017-01-01 03:15:00,0.005321004972907355
2017-01-01 03:30:00,0.005321004972907355
2017-01-01 03:45:00,0.005321004972907355
2017-01-01 04:00:00,0.007014697809468544
2017-01-01 04:15:00,0.014211660154537882
2017-01-01 04:30:00,0.01500945865350796
2017-01-01 04:45:00,0.016925428705571142
2017-01-01 05:00:00,0.014832811657689318
2017-01-01 05:15:00,0.014209631979441617
2017-01-01 05:30:00,0.013466399112099785
2017-01-01 05:45:00,0.013468998285162471
2017-01-01 06:00:00,0.018286942513698154
2017-01-01 06:15:00,0.021381351494598414
2017-01-01 06:30:00,0.022038792312434767
2017-01-01 06:45:00,0.023218864490544278
2017-01-01 07:00:00,0.024007415450668642
2017-01-01 07:15:00,0.05656344322607221
2017-01-01 07:30:00,0.9338709419479522
2017-01-01 07:45:00,1.0425890143429954
2017-01-01 08:00:00,1.0577985936511
2017-01-01 08:15:00,1.1711137401108556
2017-01-01 08:30:00,2.1073783444074876
2017-01-01 08:45:00,3.2636090785105836
2017-01-01 09:00:00,4.4476600482437805
2017-01-01 09:15:00,4.627434370815198
2017-01-01 09:30:00,5.762493016623126
2017-01-01 09:45:00,6.550278010465959
2017-01-01 10:00:00,6.824805179180753
2017-01-01 10:15:00,7.212271329398746
2017-01-01 10:30:00,7.237906090118287
2017-01-01 10:45:00,7.369243607928459
2017-01-01 11:00:00,7.506771947041166
2017-01-01 11:15:00,7.685039682729971
2017-01-01 11:30:00,7.766951460765897
2017-01-01 11:45:00,7.7900794079672275
2017-01-01 12:00:00,7.7900794079672275
2017-01-01 12:15:00,7.791916206422657
2017-01-01 12:30:00,7.791916206422657
2017-01-01 12:45:00,7.774857647866319
2017-01-01 13:00:00,7.764749506543764
2017-01-01 13:15:00,7.737336460910573
2017-01-01 13:30:00,7.5978394442484465
2017-01-01 13:45:00,7.557131111523146
2017-01-01 14:00:00,7.47755233912671
2017-01-01 14:15:00,7.216893018570099
2017-01-01 14:30:00,6.200069386971973
2017-01-01 14:45:00,3.935445315834654
2017-01-01 15:00:00,2.6208611111912066
2017-01-01 15:15:00,2.3228143852486944
2017-01-01 15:30:00,2.0566230440951765
2017-01-01 15:45:00,2.0229222882980875
2017-01-01 16:00:00,1.5598176180779015
2017-01-01 16:15:00,0.1613413368516928
2017-01-01 16:30:00,0.04582643512172666
2017-01-01 16:45:00,0.03862564218297698
2017-01-01 17:00:00,0.028009858008641524
2017-01-01 17:15:00,0.0235982862249373
2017-01-01 17:30:00,0.023929241713156496
2017-01-01 17:45:00,0.02450452118660592
2017-01-01 18:00:00,0.025559926947623914
2017-01-01 18:15:00,0.02591397923885283
2017-01-01 18:30:00,0.027309827834295832
2017-01-01 18:45:00,0.02876543650236315
2017-01-01 19:00:00,0.036851429508078584
2017-01-01 19:15:00,0.010620766546165354
2017-01-01 19:30:00,0.002994667696965966
2017-01-01 19:45:00,0.002994667696965966
2017-01-01 20:00:00,0.002994667696965966
2017-01-01 20:15:00,0.002994667696965966
2017-01-01 20:30:00,0.002994667696965966
2017-01-01 20:45:00,0.002994667696965966
2017-01-01 21:00:00,0.002994667696965966
2017-01-01 21:15:00,0.002994667696965966
2017-01-01 21:30:00,0.002994667696965966
2017-01-01 21:45:00,0.002994667696965966
2017-01-01 22:00:00,0.002994667696965966
2017-01-01 22:15:00,0.002994667696965966
2017-01-01 22:30:00,0.002994667696965966
2017-01-01 22:45:00,0.002994667696965966
2017-01-01 23:00:00,0.002994667696965966
2017-01-01 23:15:00,0.002994667696965966
2017-01-01 23:30:00,0.002994667696965966
2017-01-01 23:45:00,0.002994667696965966
2017-01-02 00:00:00,0.005321004972907355
